1=33,2,3,4,5,6,7,8,9,41,17,49,25,57
2=1,34,3,4,5,6,7,8,10,42,18,50,26,58
3=1,2,35,4,5,6,7,8,11,43,19,51,27,59
4=1,2,3,36,5,6,7,8,12,44,20,52,28,60
5=1,2,3,4,37,6,7,8,13,45,21,53,29,61
6=1,2,3,4,5,38,7,8,14,46,22,54,30,62
7=1,2,3,4,5,6,39,8,15,47,23,55,31,63
8=32,64,1,2,3,4,5,6,7,40,16,48,24,56
9=1,33,41,10,11,12,13,14,15,16,17,49,25,57
10=2,34,9,42,11,12,13,14,15,16,18,50,26,58
11=3,35,9,10,43,12,13,14,15,16,19,51,27,59
12=4,36,9,10,11,44,13,14,15,16,20,52,28,60
13=5,37,9,10,11,12,45,14,15,16,21,53,29,61
14=6,38,9,10,11,12,13,46,15,16,22,54,30,62
15=7,39,9,10,11,12,13,14,47,16,23,55,31,63
16=32,64,8,40,9,10,11,12,13,14,15,48,24,56
17=1,33,9,41,49,18,19,20,21,22,23,24,25,57
18=2,34,10,42,17,50,19,20,21,22,23,24,26,58
19=3,35,11,43,17,18,51,20,21,22,23,24,27,59
20=4,36,12,44,17,18,19,52,21,22,23,24,28,60
21=5,37,13,45,17,18,19,20,53,22,23,24,29,61
22=6,38,14,46,17,18,19,20,21,54,23,24,30,62
23=7,39,15,47,17,18,19,20,21,22,55,24,31,63
24=32,64,8,40,16,48,17,18,19,20,21,22,23,56
25=32,1,33,9,41,17,49,57,26,27,28,29,30,31
26=32,2,34,10,42,18,50,25,58,27,28,29,30,31
27=32,3,35,11,43,19,51,25,26,59,28,29,30,31
28=32,4,36,12,44,20,52,25,26,27,60,29,30,31
29=32,5,37,13,45,21,53,25,26,27,28,61,30,31
30=32,6,38,14,46,22,54,25,26,27,28,29,62,31
31=32,7,39,15,47,23,55,25,26,27,28,29,30,63
32=64,8,40,16,48,24,56,25,26,27,28,29,30,31
33=1,34,35,36,37,38,39,40,9,41,17,49,25,57
34=33,2,35,36,37,38,39,40,10,42,18,50,26,58
35=33,34,3,36,37,38,39,40,11,43,19,51,27,59
36=33,34,35,4,37,38,39,40,12,44,20,52,28,60
37=33,34,35,36,5,38,39,40,13,45,21,53,29,61
38=33,34,35,36,37,6,39,40,14,46,22,54,30,62
39=33,34,35,36,37,38,7,40,15,47,23,55,31,63
40=32,64,33,34,35,36,37,38,39,8,16,48,24,56
41=1,33,9,42,43,44,45,46,47,48,17,49,25,57
42=2,34,41,10,43,44,45,46,47,48,18,50,26,58
43=3,35,41,42,11,44,45,46,47,48,19,51,27,59
44=4,36,41,42,43,12,45,46,47,48,20,52,28,60
45=5,37,41,42,43,44,13,46,47,48,21,53,29,61
46=6,38,41,42,43,44,45,14,47,48,22,54,30,62
47=7,39,41,42,43,44,45,46,15,48,23,55,31,63
48=32,64,8,40,41,42,43,44,45,46,47,16,24,56
49=1,33,9,41,17,50,51,52,53,54,55,56,25,57
50=2,34,10,42,49,18,51,52,53,54,55,56,26,58
51=3,35,11,43,49,50,19,52,53,54,55,56,27,59
52=4,36,12,44,49,50,51,20,53,54,55,56,28,60
53=5,37,13,45,49,50,51,52,21,54,55,56,29,61
54=6,38,14,46,49,50,51,52,53,22,55,56,30,62
55=7,39,15,47,49,50,51,52,53,54,23,56,31,63
56=32,64,8,40,16,48,49,50,51,52,53,54,55,24
57=64,1,33,9,41,17,49,25,58,59,60,61,62,63
58=64,2,34,10,42,18,50,57,26,59,60,61,62,63
59=64,3,35,11,43,19,51,57,58,27,60,61,62,63
60=64,4,36,12,44,20,52,57,58,59,28,61,62,63
61=64,5,37,13,45,21,53,57,58,59,60,29,62,63
62=64,6,38,14,46,22,54,57,58,59,60,61,30,63
63=64,7,39,15,47,23,55,57,58,59,60,61,62,31
64=32,8,40,16,48,24,56,57,58,59,60,61,62,63
